variables=x[mm],y[mm],z[mm],dummy
  zone i=         151 j=         222 k=           1 f=point
 -7.8697872767E+00  2.0013044582E+00  0.0000000000E+00  1.0000000000E+00
 -7.5163179852E+00  2.0014487145E+00  0.0000000000E+00  1.0000000000E+00
 -7.1776238123E+00  2.0013690948E+00  0.0000000000E+00  1.0000000000E+00
 -6.8531509290E+00  2.0010443316E+00  0.0000000000E+00  1.0000000000E+00
 -6.5423568293E+00  2.0004589710E+00  0.0000000000E+00  1.0000000000E+00
 -6.2447173591E+00  1.9996354295E+00  0.0000000000E+00  1.0000000000E+00
 -5.9597214750E+00  1.9986979697E+00  0.0000000000E+00  1.0000000000E+00
 -5.6868638769E+00  1.9977464826E+00  0.0000000000E+00  1.0000000000E+00
 -5.4256687298E+00  1.9969297312E+00  0.0000000000E+00  1.0000000000E+00
 -5.1756567119E+00  1.9963493697E+00  0.0000000000E+00  1.0000000000E+00
 -4.9363930948E+00  1.9961191860E+00  0.0000000000E+00  1.0000000000E+00
 -4.7074414794E+00  1.9962867818E+00  0.0000000000E+00  1.0000000000E+00
 -4.4883985745E+00  1.9968868963E+00  0.0000000000E+00  1.0000000000E+00
 -4.2788743982E+00  1.9979028956E+00  0.0000000000E+00  1.0000000000E+00
 -4.0784853551E+00  1.9992872770E+00  0.0000000000E+00  1.0000000000E+00
 -3.8868599729E+00  2.0009739286E+00  0.0000000000E+00  1.0000000000E+00
 -3.7036224443E+00  2.0028388594E+00  0.0000000000E+00  1.0000000000E+00
 -3.5284268884E+00  2.0047783918E+00  0.0000000000E+00  1.0000000000E+00
 -3.3608950715E+00  2.0066433047E+00  0.0000000000E+00  1.0000000000E+00
 -3.2006908120E+00  2.0083586775E+00  0.0000000000E+00  1.0000000000E+00
 -3.0474982806E+00  2.0098087407E+00  0.0000000000E+00  1.0000000000E+00
 -2.9009988947E+00  2.0109617218E+00  0.0000000000E+00  1.0000000000E+00
 -2.7609160408E+00  2.0117511468E+00  0.0000000000E+00  1.0000000000E+00
 -2.6269925702E+00  2.0121836925E+00  0.0000000000E+00  1.0000000000E+00
 -2.4989957261E+00  2.0122433473E+00  0.0000000000E+00  1.0000000000E+00
 -2.3766973683E+00  2.0119634603E+00  0.0000000000E+00  1.0000000000E+00
 -2.2599007137E+00  2.0113690098E+00  0.0000000000E+00  1.0000000000E+00
 -2.1483807280E+00  2.0105048527E+00  0.0000000000E+00  1.0000000000E+00
 -2.0419374336E+00  2.0094208182E+00  0.0000000000E+00  1.0000000000E+00
 -1.9403470334E+00  2.0081639301E+00  0.0000000000E+00  1.0000000000E+00
 -1.8433914312E+00  2.0067914596E+00  0.0000000000E+00  1.0000000000E+00
 -1.7508567084E+00  2.0053420944E+00  0.0000000000E+00  1.0000000000E+00
 -1.6624940074E+00  2.0038713030E+00  0.0000000000E+00  1.0000000000E+00
 -1.5780941272E+00  2.0024054733E+00  0.0000000000E+00  1.0000000000E+00
 -1.4974243639E+00  2.0009909366E+00  0.0000000000E+00  1.0000000000E+00
 -1.4203030897E+00  1.9996417148E+00  0.0000000000E+00  1.0000000000E+00
 -1.3465298529E+00  1.9983952421E+00  0.0000000000E+00  1.0000000000E+00
 -1.2759519390E+00  1.9972565321E+00  0.0000000000E+00  1.0000000000E+00
 -1.2084146339E+00  1.9962507938E+00  0.0000000000E+00  1.0000000000E+00
 -1.1437872049E+00  1.9953728691E+00  0.0000000000E+00  1.0000000000E+00
 -1.0819628453E+00  1.9946358477E+00  0.0000000000E+00  1.0000000000E+00
 -1.0228210311E+00  1.9940285211E+00  0.0000000000E+00  1.0000000000E+00
 -9.6629149689E-01  1.9935548462E+00  0.0000000000E+00  1.0000000000E+00
 -9.1227145839E-01  1.9932005643E+00  0.0000000000E+00  1.0000000000E+00
 -8.6071203038E-01  1.9929626194E+00  0.0000000000E+00  1.0000000000E+00
 -8.1151426346E-01  1.9928261277E+00  0.0000000000E+00  1.0000000000E+00
 -7.6461669297E-01  1.9927836073E+00  0.0000000000E+00  1.0000000000E+00
 -7.1991570795E-01  1.9928213012E+00  0.0000000000E+00  1.0000000000E+00
 -6.7733750239E-01  1.9929291921E+00  0.0000000000E+00  1.0000000000E+00
 -6.3677611188E-01  1.9930958774E+00  0.0000000000E+00  1.0000000000E+00
 -5.9814828299E-01  1.9933108308E+00  0.0000000000E+00  1.0000000000E+00
 -5.6135598048E-01  1.9935654511E+00  0.0000000000E+00  1.0000000000E+00
 -5.2630298723E-01  1.9938496497E+00  0.0000000000E+00  1.0000000000E+00
 -4.9289834166E-01  1.9941574963E+00  0.0000000000E+00  1.0000000000E+00
 -4.6104579978E-01  1.9944802106E+00  0.0000000000E+00  1.0000000000E+00
 -4.3067002224E-01  1.9948141207E+00  0.0000000000E+00  1.0000000000E+00
 -4.0167848528E-01  1.9951518578E+00  0.0000000000E+00  1.0000000000E+00
 -3.7400879113E-01  1.9954914497E+00  0.0000000000E+00  1.0000000000E+00
 -3.4757812004E-01  1.9958270021E+00  0.0000000000E+00  1.0000000000E+00
 -3.2233708500E-01  1.9961577902E+00  0.0000000000E+00  1.0000000000E+00
 -2.9821652202E-01  1.9964791290E+00  0.0000000000E+00  1.0000000000E+00
 -2.7517389659E-01  1.9967911288E+00  0.0000000000E+00  1.0000000000E+00
 -2.5314928229E-01  1.9970902706E+00  0.0000000000E+00  1.0000000000E+00
 -2.3210690412E-01  1.9973772584E+00  0.0000000000E+00  1.0000000000E+00
 -2.1199328917E-01  1.9976495590E+00  0.0000000000E+00  1.0000000000E+00
 -1.9276762852E-01  1.9979083489E+00  0.0000000000E+00  1.0000000000E+00
 -1.7437429694E-01  1.9981520222E+00  0.0000000000E+00  1.0000000000E+00
 -1.5675999529E-01  1.9983821242E+00  0.0000000000E+00  1.0000000000E+00
 -1.3985708399E-01  1.9985980049E+00  0.0000000000E+00  1.0000000000E+00
 -1.2359113244E-01  1.9988015492E+00  0.0000000000E+00  1.0000000000E+00
 -1.0786970502E-01  1.9989929661E+00  0.0000000000E+00  1.0000000000E+00
 -9.2585986910E-02  1.9991742840E+00  0.0000000000E+00  1.0000000000E+00
 -7.7613330597E-02  1.9993465065E+00  0.0000000000E+00  1.0000000000E+00
 -6.2796152115E-02  1.9995117605E+00  0.0000000000E+00  1.0000000000E+00
 -4.7970605968E-02  1.9996713291E+00  0.0000000000E+00  1.0000000000E+00
 -3.3038670591E-02  1.9998256580E+00  0.0000000000E+00  1.0000000000E+00
 -1.8127910079E-02  1.9999718346E+00  0.0000000000E+00  1.0000000000E+00
 -3.6612989835E-03  2.0001035749E+00  0.0000000000E+00  1.0000000000E+00
  9.4786420321E-03  2.0002112447E+00  0.0000000000E+00  1.0000000000E+00
  2.0007715198E-02  2.0002856623E+00  0.0000000000E+00  1.0000000000E+00
 -9.9804780912E+01  4.0904125818E+00  0.0000000000E+00  1.0000000000E+00
 -9.7811063338E+01  4.0390851792E+00  0.0000000000E+00  1.0000000000E+00
 -9.5826357848E+01  4.0385964045E+00  0.0000000000E+00  1.0000000000E+00
 -9.3828671674E+01  4.0458366018E+00  0.0000000000E+00  1.0000000000E+00
 -9.1818251375E+01  4.0540466040E+00  0.0000000000E+00  1.0000000000E+00
 -8.9797521826E+01  4.0612524943E+00  0.0000000000E+00  1.0000000000E+00
 -8.7769468631E+01  4.0670391521E+00  0.0000000000E+00  1.0000000000E+00
 -8.5737140615E+01  4.0714964088E+00  0.0000000000E+00  1.0000000000E+00
 -8.3703493042E+01  4.0748523097E+00  0.0000000000E+00  1.0000000000E+00
 -8.1671346890E+01  4.0773432460E+00  0.0000000000E+00  1.0000000000E+00
 -7.9643386078E+01  4.0791724318E+00  0.0000000000E+00  1.0000000000E+00
 -7.7622166217E+01  4.0805008731E+00  0.0000000000E+00  1.0000000000E+00
 -7.5610125112E+01  4.0814508593E+00  0.0000000000E+00  1.0000000000E+00
 -7.3609591450E+01  4.0821127824E+00  0.0000000000E+00  1.0000000000E+00
 -7.1622790758E+01  4.0825523800E+00  0.0000000000E+00  1.0000000000E+00
 -6.9651849298E+01  4.0828169857E+00  0.0000000000E+00  1.0000000000E+00
 -6.7698795719E+01  4.0829405144E+00  0.0000000000E+00  1.0000000000E+00
 -6.5765561466E+01  4.0829473535E+00  0.0000000000E+00  1.0000000000E+00
 -6.3853979894E+01  4.0828550940E+00  0.0000000000E+00  1.0000000000E+00
 -6.1965784329E+01  4.0826767242E+00  0.0000000000E+00  1.0000000000E+00
 -6.0102606302E+01  4.0824219590E+00  0.0000000000E+00  1.0000000000E+00
 -5.8265973816E+01  4.0820984248E+00  0.0000000000E+00  1.0000000000E+00
 -5.6457309907E+01  4.0817121841E+00  0.0000000000E+00  1.0000000000E+00
 -5.4677930570E+01  4.0812684243E+00  0.0000000000E+00  1.0000000000E+00
 -5.2929043515E+01  4.0807715809E+00  0.0000000000E+00  1.0000000000E+00
 -5.1211747987E+01  4.0802257862E+00  0.0000000000E+00  1.0000000000E+00
